2018-12-13 10:05:36 Debug: Gebruiker niet gevonden.15
2019-01-28 04:19:26 Debug: http://localhost/cakeUren/user/login  gebruiker: , id: , rol: 
2019-01-28 04:19:32 Debug: http://localhost/cakeUren/  gebruiker: fluke, id: 15, rol: 1
2019-01-28 04:20:01 Debug: http://localhost/cakeUren/  gebruiker: fluke, id: 15, rol: 2
2019-01-28 04:20:04 Debug: http://localhost/cakeUren/  gebruiker: fluke, id: 15, rol: 2
2019-01-28 04:20:08 Debug: http://localhost/cakeUren/  gebruiker: fluke, id: 15, rol: 2
2019-01-28 04:20:45 Debug: http://localhost/cakeUren/UserMonthbookings/addMonthBooking  gebruiker: fluke, id: 15, rol: 2
2019-01-28 04:20:47 Debug: http://localhost/cakeUren/UserMonthbookings/index  gebruiker: fluke, id: 15, rol: 2
2019-01-28 04:21:02 Debug: http://localhost/cakeUren/UserMonthbookings/addMonthBooking  gebruiker: fluke, id: 15, rol: 2
2019-01-28 04:21:04 Debug: http://localhost/cakeUren/UserMonthbookings/index  gebruiker: fluke, id: 15, rol: 2
2019-01-28 04:21:06 Debug: http://localhost/cakeUren/UserMonthbookings/view/53  gebruiker: fluke, id: 15, rol: 2
2019-01-28 04:21:07 Debug: http://localhost/cakeUren/UserMonthbookings/view/53  gebruiker: fluke, id: 15, rol: 2
2019-01-28 04:21:12 Debug: http://localhost/cakeUren/UserMonthbookings/edit/54  gebruiker: fluke, id: 15, rol: 2
2019-01-28 04:21:12 Debug: http://localhost/cakeUren/UserMonthbookings/edit/54  gebruiker: fluke, id: 15, rol: 2
2019-01-28 04:21:28 Debug: http://localhost/cakeUren/UserMonthbookings/view/54  gebruiker: fluke, id: 15, rol: 2
2019-01-28 04:21:29 Debug: http://localhost/cakeUren/UserMonthbookings/view/54  gebruiker: fluke, id: 15, rol: 2
2019-01-28 04:22:46 Debug: http://localhost/cakeUren/  gebruiker: fluke, id: 15, rol: 2
2019-01-28 04:28:44 Debug: http://localhost/cakeUren/  gebruiker: fluke, id: 15, rol: 1
2019-01-28 04:28:48 Debug: http://localhost/cakeUren/UserMonthbookings  gebruiker: fluke, id: 15, rol: 1
2019-01-28 04:28:54 Debug: http://localhost/cakeUren/UserMonthbookings/view/55  gebruiker: fluke, id: 15, rol: 1
2019-01-28 04:28:55 Debug: http://localhost/cakeUren/UserMonthbookings/view/55  gebruiker: fluke, id: 15, rol: 1
2019-01-28 04:29:42 Debug: http://localhost/cakeUren/UserMonthbookings/edit/55  gebruiker: fluke, id: 15, rol: 1
2019-01-28 04:29:43 Debug: http://localhost/cakeUren/UserMonthbookings/edit/55  gebruiker: fluke, id: 15, rol: 1
2019-01-28 04:30:11 Debug: http://localhost/cakeUren/UserMonthbookings  gebruiker: fluke, id: 15, rol: 1
2019-01-28 04:30:13 Debug: http://localhost/cakeUren/UserMonthbookings/view/1  gebruiker: fluke, id: 15, rol: 1
2019-01-28 04:31:35 Debug: http://localhost/cakeUren/UserMonthbookings  gebruiker: fluke, id: 15, rol: 1
2019-01-28 04:32:06 Debug: http://localhost/cakeUren/UserMonthbookings  gebruiker: fluke, id: 15, rol: 1
2019-01-28 04:32:38 Debug: http://localhost/cakeUren/UserMonthbookings  gebruiker: fluke, id: 15, rol: 1
2019-01-28 04:33:23 Debug: http://localhost/cakeUren/UserMonthbookings  gebruiker: fluke, id: 15, rol: 1
2019-01-28 04:35:49 Debug: http://localhost/cakeUren/UserMonthbookings/edit/54  gebruiker: fluke, id: 15, rol: 1
2019-01-28 04:36:13 Debug: http://localhost/cakeUren/UserMonthbookings/view/55  gebruiker: fluke, id: 15, rol: 1
2019-01-28 04:36:14 Debug: http://localhost/cakeUren/UserMonthbookings/view/55  gebruiker: fluke, id: 15, rol: 1
2019-01-28 04:41:19 Debug: http://localhost/cakeUren/UserMonthbookings/view/54  gebruiker: fluke, id: 15, rol: 1
2019-01-28 04:41:20 Debug: http://localhost/cakeUren/UserMonthbookings/view/54  gebruiker: fluke, id: 15, rol: 1
2019-01-28 04:41:42 Debug: http://localhost/cakeUren/UserMonthbookings/edit/55  gebruiker: fluke, id: 15, rol: 1
2019-01-28 04:41:43 Debug: http://localhost/cakeUren/UserMonthbookings/edit/55  gebruiker: fluke, id: 15, rol: 1
2019-01-28 04:45:52 Debug: http://localhost/cakeUren/UserMonthbookings/view/54  gebruiker: fluke, id: 15, rol: 1
2019-01-28 04:45:53 Debug: http://localhost/cakeUren/UserMonthbookings/view/54  gebruiker: fluke, id: 15, rol: 1
2019-01-28 04:49:21 Debug: http://localhost/cakeUren/UserMonthbookings/view/55  gebruiker: fluke, id: 15, rol: 1
2019-01-28 04:50:03 Debug: http://localhost/cakeUren/UserMonthbookings/view/55  gebruiker: fluke, id: 15, rol: 1
2019-01-28 04:54:42 Debug: http://localhost/cakeUren/UserMonthbookings/edit/55  gebruiker: fluke, id: 15, rol: 1
2019-01-28 04:54:49 Debug: http://localhost/cakeUren/UserMonthbookings/view/54  gebruiker: fluke, id: 15, rol: 1
2019-01-28 04:55:22 Debug: http://localhost/cakeUren/UserMonthbookings/view/54  gebruiker: fluke, id: 15, rol: 1
2019-01-28 04:57:31 Debug: http://localhost/cakeUren/UserMonthbookings  gebruiker: fluke, id: 15, rol: 1
2019-01-28 04:57:36 Debug: http://localhost/cakeUren/UserMonthbookings/view/55  gebruiker: fluke, id: 15, rol: 1
2019-01-28 04:57:39 Debug: http://localhost/cakeUren/UserMonthbookings/view/54  gebruiker: fluke, id: 15, rol: 1
2019-01-28 15:07:06 Debug: http://localhost/cakeUren/UserMonthbookings/index/sort:created/direction:asc  gebruiker: , id: , rol: 
2019-01-28 15:07:10 Debug: http://localhost/cakeUren/  gebruiker: fluke, id: 15, rol: 1
2019-01-28 15:45:19 Debug: http://localhost/cakeUren/UserMonthbookings  gebruiker: fluke, id: 15, rol: 1
2019-01-28 15:45:22 Debug: http://localhost/cakeUren/UserMonthbookings/view/58  gebruiker: fluke, id: 15, rol: 1
2019-01-28 15:45:45 Debug: http://localhost/cakeUren/UserMonthbookings/edit/58  gebruiker: fluke, id: 15, rol: 1
2019-01-28 15:46:13 Debug: http://localhost/cakeUren/UserMonthbookings/view/56  gebruiker: fluke, id: 15, rol: 1
2019-01-28 15:46:28 Debug: http://localhost/cakeUren/UserMonthbookings  gebruiker: fluke, id: 15, rol: 1
2019-01-28 15:46:30 Debug: http://localhost/cakeUren/UserMonthbookings/view/60  gebruiker: fluke, id: 15, rol: 1
2019-01-28 15:46:38 Debug: http://localhost/cakeUren/UserMonthbookings/edit/60  gebruiker: fluke, id: 15, rol: 1
2019-01-29 05:04:13 Debug: http://localhost/cakeUren/UserMonthbookings/view/60  gebruiker: , id: , rol: 
2019-01-29 05:04:17 Debug: http://localhost/cakeUren/  gebruiker: fluke, id: 15, rol: 1
2019-01-29 05:04:20 Debug: http://localhost/cakeUren/UserMonthbookings  gebruiker: fluke, id: 15, rol: 1
2019-01-29 05:04:24 Debug: http://localhost/cakeUren/UserMonthbookings/edit/57  gebruiker: fluke, id: 15, rol: 1
2019-01-29 15:22:29 Debug: http://localhost/cakeUren/UserMonthbookings/add/57  gebruiker: , id: , rol: 
2019-01-29 15:22:29 Debug: http://localhost/cakeUren/UserMonthbookings/add/57  gebruiker: , id: , rol: 
2019-01-29 15:34:59 Debug: http://localhost/cakeUren/UserMonthbookings/edit/54  gebruiker: , id: , rol: 
2019-01-29 15:35:03 Debug: http://localhost/cakeUren/  gebruiker: fluke, id: 15, rol: 1
2019-01-29 15:35:08 Debug: http://localhost/cakeUren/UserMonthbookings  gebruiker: fluke, id: 15, rol: 1
2019-01-29 15:35:10 Debug: http://localhost/cakeUren/UserMonthbookings/edit/55  gebruiker: fluke, id: 15, rol: 1
2019-01-29 15:35:38 Debug: http://localhost/cakeUren/UserMonthbookings/add/55  gebruiker: fluke, id: 15, rol: 1
2019-01-29 15:35:38 Debug: http://localhost/cakeUren/UserMonthbookings/add/55  gebruiker: fluke, id: 15, rol: 1
2019-01-29 15:35:42 Debug: http://localhost/cakeUren/UserMonthbookings/view/55  gebruiker: fluke, id: 15, rol: 1
2019-01-29 15:35:47 Debug: http://localhost/cakeUren/UserMonthbookings/edit/55  gebruiker: fluke, id: 15, rol: 1
2019-01-29 15:41:37 Debug: http://localhost/cakeUren/UserMonthbookings/edit/58  gebruiker: fluke, id: 15, rol: 1
2019-01-29 15:41:38 Debug: http://localhost/cakeUren/UserMonthbookings/edit/58  gebruiker: fluke, id: 15, rol: 1
2019-01-29 15:42:01 Debug: http://localhost/cakeUren/UserMonthbookings  gebruiker: fluke, id: 15, rol: 1
2019-01-29 15:42:03 Debug: http://localhost/cakeUren/UserMonthbookings/addHours/54  gebruiker: fluke, id: 15, rol: 1
2019-01-29 15:43:16 Debug: http://localhost/cakeUren/UserMonthbookings/addHours/60  gebruiker: fluke, id: 15, rol: 1
2019-01-29 15:47:34 Debug: http://localhost/cakeUren/UserMonthbookings/addHours/57  gebruiker: fluke, id: 15, rol: 1
2019-01-29 15:54:57 Debug: http://localhost/cakeUren/UserMonthbookings/addHours/55  gebruiker: fluke, id: 15, rol: 1
2019-01-29 16:13:01 Debug: http://localhost/cakeUren/UserMonthbookings/addHours/55  gebruiker: fluke, id: 15, rol: 1
2019-01-29 20:21:15 Debug: http://localhost/cakeUren/  gebruiker: , id: , rol: 
